Q1_Major,Q2_ReadLevel,Q2_WriteLevel,Q2_ListenLevel,Q2_SpeakLevel,Q3_NeedEnglish,Q4_AccessInfo,Q4_WritePresentResearch,Q4_CareerOpportunities,Q4_CollaborationNetworking,Q4_All,Q4_Other_IRRELEVANT,Q5_Attendance,Q6_Ifnever1,Q6_Ifnever2,Q6_Ifnever3,Q6_Ifnever4,Q6_Ifnever5,Q6_If_attending1,Q6_If_attending2,Q6_If_attending3,Q6_If_attending4,Q7_ImproveSkills1,Q7_ImproveSkills2,Q7_ImproveSkills3,Q7_ImproveSkills4,Q7_ImproveSkills5,Q8_Difficulty1,Q8_Difficulty2,Q8_Difficulty3,Q8_Difficulty4,Q8_Difficulty5,Q9_ReadingSatisfaction,Q9_WritingSatisfaction,Q9_ListeningSatisfaction,Q9_SpeakingSatisfaction,Q10_UseEnglishTo,Q10_UseEnglishTo2,Q10_UseEnglishTo3,Q10_UseEnglishTo4,Q10_UseEnglishTo5,Q11_Challenges,Q12_TeachingMethod,Q12_TeachingMethod2,Q12_TeachingMethod3,Q12_TeachingMethod4,Q12_TeachingMethod5,Q12_TeachingMethod6,Q12_Helpful,Q12_SuitableMethods,Q13_CourseFormat,Q13_Why,Q14_TechIncorporated,Q14_TechHelpful,Q15_Relevance,Q16_WithinReach,Q17_TimeAllotted,Q18_Extension,Q18_Integration,Q19_ExamDifficulty,Q20_TestPreference,Q20_TestPreference2,Q20_TestPreference3,Q21_GradeReflectProficiency,Q21_Why,Q22_FeedbackHelpfulness,Q23_Suggestions
CS,Good,Good,Good,Good,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,No, , ,Yes, ,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Not at all,Not at all,Not at all,Not at all,Yes,Yes,No,No,No, ,No,No,No,No,No,Yes,No, ,Online, ,Yes,Yes,Yes,Yes,Not Enough,Yes,Yes,Within your reach,No,No,Yes,Neutral, ,Neutral,"In general, stud"
CS,Good,Average,Good,Average,Yes,No,No,No,No,No,Yes, ,No, , , ,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Not at all,Not at all,Not at all,Not at all,No,No,No,No,Yes, ,Yes,No,Yes,Yes,Yes,No,Yes, ,In-class, ,Yes,Yes,Yes,Yes,Enough, ,Yes,Within your reach,Yes,Yes,Yes,No, ,Very helpful, 
CS,Good,Average,Average,Average,Yes,Yes,Yes,Yes,Yes,Yes,No,Often,No, , , , ,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Completely,Completely,Completely,Completely,No,No,No,No,Yes, ,Yes,No,Yes,No,Yes,No,Yes, ,Online, ,Yes,Yes,Yes,Yes,Not Enough,Yes,No,Too easy,No,Yes,Yes,Neutral, ,Somewhat helpful,The language of
CS,Basic,Good,Basic,Average,Yes,Yes,Yes,Yes,No,No,No,Always,No, , , , ,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Completely,Completely,Somewhat,Somewhat,No,No,No,No,Yes, ,Yes,Yes,Yes,No,No,No,Yes, ,In-class, ,Yes,Yes,Yes,Yes,Enough,No,Yes,Within your reach,Yes,Yes,Yes,No, ,Somewhat helpful, 
CS,Good,Average,Good,Average,Yes,Yes, ,Yes,Yes,No,No,Rarely,No, , , , ,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Completely,Somewhat,Completely,Completely,No,No,No,No,Yes, ,Yes,No,No,No,No,No,No, ,In-class, , , ,Yes,Yes,Not Enough,Yes,Yes,Too easy,No,Yes,Yes,Neutral, ,Neutral, 
CS,Good,Good,Good,Good,Yes,No,No,No,No,Yes,No,Often,No, , , , ,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Completely,Somewhat,Completely,Completely,No,Yes,Yes,No,No, ,No,No,Yes,No,No,No,Yes, ,Online, ,No, ,No,Yes,Not Enough,Yes,Yes,Within your reach,No,Yes,No,Neutral, ,Very helpful, 
CS,Average,Average,Average,Average,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,No,Yes, , , ,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Completely,Completely,Completely,Somewhat,Yes,No,Yes,No,No, ,No,No,No,No,Yes,No,No, ,In-class, ,Yes,Yes,No, ,Not Enough,Yes,Yes,Too easy,No,Yes,No,Neutral, ,Neutral, 
CS,Good,Good,Average,Good,Yes,Yes,No,No,No,No,No,Rarely,No,Yes, , , ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Somewhat,Not at all,Completely,Somewhat,Yes,No,No,No,No, ,Yes,No,No,No,No,No,No, ,Online, ,Yes,No,Yes,Yes,Enough,No,Yes,Within your reach,Yes,No,No,Neutral, ,Neutral, 
CS,Good,Good,Good,Average,Yes, , , , , , ,Rarely,No, , , , ,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Somewhat,Not at all,Somewhat,Not at all,Yes,Yes,No,Yes,No, ,Yes,No,No,No,No,No,No, ,Online, ,Yes,Yes,No,Yes,Not Enough,No,Yes,Within your reach,No,Yes,No,Neutral, ,Neutral, 
CS,Good,Good,Good,Average,Yes,Yes,No,No,No,No,No,Often,No, , , , ,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Completely,Completely,Completely,Somewhat,Yes,Yes,No,Yes,No, ,No,No,Yes,No,No,No,No, ,Online, ,Yes,Yes,Yes,Yes,Enough, ,Yes,Within your reach,No,Yes,No,No, ,Somewhat helpful,More use of the
CS,Good,Good,Good,Average,Yes,Yes,Yes,No,No,No,No,Often,No, , , , ,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Completely,Completely,Somewhat,Somewhat,No,Yes,No,No,No, ,No,No,Yes,No,No,No,Yes, ,In-class, ,No, ,Yes,Yes,Not Enough,Yes,Yes,Too easy,No,Yes,No,Neutral, ,Somewhat helpful, 
