Q1_Major,Q2_ReadLevel,Q2_WriteLevel,Q2_ListenLevel,Q2_SpeakLevel,Q3_NeedEnglish,Q4_AccessInfo,Q4_WritePresentResearch,Q4_CareerOpportunities,Q4_CollaborationNetworking,Q4_All,Q5_Attendance_Rate,Q6_Attendance_ForAttendanceMark,Q6_Attendance_To acquire enough knowledge to pass the exam.,Q6_Attendance_To acquire the necessary English language skills needed ,Q6_Attendance_ForAllTheAbove,Q7_ImproveSkills_Reading,Q7_ImproveSkills_Writing,Q7_ImproveSkills_Listening,Q7_ImproveSkills_Speaking,Q7_ImproveSkills5,Q8_Difficulty_With_Reading comprehension ,Q8_Difficulty_With_Writing skills,Q8_Difficulty_With_Speech comprehension ,Q8_Difficulty_With_Speaking and presentation skills ,Q8_Difficulty_With_All the above,Q9_ReadingSatisfaction,Q9_WritingSatisfaction,Q9_ListeningSatisfaction,Q9_SpeakingSatisfaction,Q10_UseEnglishTo_Read technical papers,Q10_UseEnglishTo_Write and Read code documentation ,Q10_UseEnglishTo_Present research,Q10_UseEnglishTo_Collaborate with international peers,Q10_UseEnglishTo_Other ,Q12_TeachingMethod_Group discussions,Q12_TeachingMethod_Roleplaying exercises,Q12_TeachingMethod_Technical reading/writing,Q12_TeachingMethod4,Q12_TeachingMethod_Assignments,Q12_TeachingMethod_Project-based learning,Q12_Helpful,Q13_CourseFormat,Q14_TechIncorporated,Q14_TechHelpful,Q15_Relevance,Q16_WithinReach,Q17_TimeAllotted,Q18_Extension,Q18_Integration,Q19_ExamDifficulty,Q20_TestPreference_Oral,Q20_TestPreference_Written,Q20_TestPreference_ProjectBased,Q21_GradeReflectProficiency,Q22_FeedbackHelpfulness
CS,Good,Good,Good,Good,Yes,Yes,Yes,Yes,Yes,Yes,Rarely,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Not at all,Not at all,Not at all,Not at all,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Online,Yes,Yes,Yes,Yes,Not Enough,Yes,Yes,Within your reach,No,No,Yes,Neutral,Neutral
CS,Good,Average,Good,Average,Yes,No,No,No,No,No, ,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Not at all,Not at all,Not at all,Not at all,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,In-class,Yes,Yes,Yes,Yes,Enough, ,Yes,Within your reach,Yes,Yes,Yes,No,Very helpful
CS,Good,Average,Average,Average,Yes,Yes,Yes,Yes,Yes,Yes,Often,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Completely,Completely,Completely,Completely,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Online,Yes,Yes,Yes,Yes,Not Enough,Yes,No,Too easy,No,Yes,Yes,Neutral,Somewhat helpful
CS,Basic,Good,Basic,Average,Yes,Yes,Yes,Yes,No,No,Always,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Completely,Completely,Somewhat,Somewhat,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,In-class,Yes,Yes,Yes,Yes,Enough,No,Yes,Within your reach,Yes,Yes,Yes,No,Somewhat helpful
CS,Good,Average,Good,Average,Yes,Yes, ,Yes,Yes,No,Rarely,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Completely,Somewhat,Completely,Completely,No,No,No,No,Yes,Yes,No,No,No,No,No,No,In-class, , ,Yes,Yes,Not Enough,Yes,Yes,Too easy,No,Yes,Yes,Neutral,Neutral
CS,Good,Good,Good,Good,Yes,No,No,No,No,Yes,Often,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Completely,Somewhat,Completely,Completely,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Online,No, ,No,Yes,Not Enough,Yes,Yes,Within your reach,No,Yes,No,Neutral,Very helpful
CS,Average,Average,Average,Average,Yes,Yes,Yes,Yes,Yes,Yes,Rarely,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Completely,Completely,Completely,Somewhat,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,In-class,Yes,Yes,No, ,Not Enough,Yes,Yes,Too easy,No,Yes,No,Neutral,Neutral
CS,Good,Good,Average,Good,Yes,Yes,No,No,No,No,Rarely,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Somewhat,Not at all,Completely,Somewhat,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Online,Yes,No,Yes,Yes,Enough,No,Yes,Within your reach,Yes,No,No,Neutral,Neutral
CS,Good,Good,Good,Average,Yes, , , , , ,Rarely,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Somewhat,Not at all,Somewhat,Not at all,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Online,Yes,Yes,No,Yes,Not Enough,No,Yes,Within your reach,No,Yes,No,Neutral,Neutral
CS,Good,Good,Good,Average,Yes,Yes,No,No,No,No,Often,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Completely,Completely,Completely,Somewhat,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Online,Yes,Yes,Yes,Yes,Enough, ,Yes,Within your reach,No,Yes,No,No,Somewhat helpful
